
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     8.769738e-01   1.975289e+01                  1.975289e+01   
  1     8.769738e-01   1.975289e+01   1.975289e+01   3.591434e+00   3         1         5         
  2     8.769738e-01   1.975289e+01   3.591434e+00   3.911463e-01   4         1         5         
  3     8.769738e-01   1.975289e+01   3.911463e-01   3.946631e-02   5         1         5         
  4     3.833765e-01   8.288232e+00   3.946631e-02   3.946631e-02   6         2         0         
  5     2.658600e-01   3.945461e+00   2.945516e-02   9.866578e-02   7         3         0         
  6     2.370355e-01   2.205714e+00   1.218853e-02   2.466644e-01   8         4         0         
  7     2.370355e-01   2.205714e+00   1.326807e-02   3.317017e-03   9         4         5         
  8     2.306667e-01   1.808442e+00   3.317017e-03   8.292543e-03   10        5         0         
  9     2.177446e-01   1.514140e+00   8.292543e-03   2.073136e-02   11        6         0         
  10    2.177446e-01   1.514140e+00   2.073136e-02   3.697998e-03   12        6         5         
  11    2.126368e-01   1.357151e+00   3.697998e-03   9.244995e-03   13        7         0         
  12    2.020488e-01   1.323401e+00   9.244995e-03   2.311249e-02   14        8         0         
  13    2.020488e-01   1.323401e+00   2.311249e-02   3.156079e-03   15        8         5         
  14    2.020488e-01   1.323401e+00   3.156079e-03   3.956870e-04   16        8         5         
  15    2.015345e-01   1.282966e+00   3.956870e-04   9.892174e-04   17        9         0         
  16    2.003132e-01   1.216804e+00   9.892174e-04   2.473044e-03   18        10        0         
  17    2.003132e-01   1.216804e+00   2.473044e-03   2.572194e-04   19        10        5         
  18    2.000034e-01   1.195858e+00   2.572194e-04   6.430485e-04   20        11        0         
  19    2.000034e-01   1.195858e+00   6.430485e-04   6.518852e-05   21        11        5         
  20    1.999256e-01   1.191958e+00   6.518852e-05   1.629713e-04   22        12        0         
  21    1.997323e-01   1.184238e+00   1.629713e-04   4.074282e-04   23        13        0         
  22    1.997323e-01   1.184238e+00   4.074282e-04   4.093475e-05   24        13        5         
  23    1.997323e-01   1.184238e+00   4.093475e-05   4.095404e-06   25        13        5         
  24    1.997274e-01   1.184179e+00   4.095404e-06   1.023851e-05   26        14        0         
  25    1.997274e-01   1.184179e+00   1.023851e-05   1.023909e-06   27        14        5         
  26    1.997262e-01   1.184164e+00   1.023909e-06   2.559772e-06   28        15        0         
  27    1.997232e-01   1.184127e+00   2.559772e-06   6.399429e-06   29        16        0         
  28    1.997232e-01   1.184127e+00   6.399429e-06   6.399654e-07   30        16        5         
  29    1.997224e-01   1.184118e+00   6.399654e-07   1.599913e-06   31        17        0         
  30    1.997205e-01   1.184095e+00   1.599913e-06   3.999784e-06   32        18        0         
  31    1.997158e-01   1.184037e+00   3.999784e-06   9.999459e-06   33        19        0         
  32    1.997158e-01   1.184037e+00   9.999459e-06   1.000001e-06   34        19        5         
  33    1.997158e-01   1.184037e+00   1.000001e-06   1.000006e-07   35        19        5         
